R,53.3632,-6.25908,D414,09 Oct 2020,D414\n16:59 - Grand Canal Dock to Hazelhatch (1 mins late)\nArrived Drumcondra next stop Park West and Cherry Orchard,Southbound
R,53.373,-6.20442,P715,09 Oct 2020,P715\n16:28 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Killester next stop Dublin Connolly,Southbound
R,53.3777,-6.34591,D312,09 Oct 2020,D312\n17:00 - Docklands to M3 Parkway (1 mins late)\nDeparted Navan Road Parkway next stop Castleknock,Northbound
R,53.3786,-6.19131,E123,09 Oct 2020,E123\n17:00 - Howth to Greystones (0 mins late)\nArrived Harmonstown next stop Killester,Southbound
R,53.3786,-6.19131,E932,09 Oct 2020,E932\n16:04 - Greystones to Howth (1 mins late)\nDeparted Harmonstown next stop Raheny,Northbound
R,53.3831,-6.4242,D924,09 Oct 2020,D924\n16:41 - Dublin Pearse to Maynooth (2 mins late)\nArrived Clonsilla next stop Leixlip (Confey),Northbound
T,52.5009,-8.20003,A441,09 Oct 2020,A441\n16:50 - Limerick to Limerick Junction(-3 mins late)\nTERMINATED Limerick Junction at 17:14,To Limerick Junction
T,53.2043,-6.10046,E241,09 Oct 2020,E241\n15:52 - Malahide to Bray(3 mins late)\nTERMINATED Bray at 17:08,Southbound
T,53.3223,-6.52356,D412,09 Oct 2020,D412\n16:28 - Grand Canal Dock to Hazelhatch(-2 mins late)\nTERMINATED Hazelhatch at 17:13,Southbound
T,53.3433,-6.24829,P617,09 Oct 2020,P617\n16:02 - Drogheda to Dublin Pearse(-1 mins late)\nTERMINATED Dublin Pearse at 17:05,Southbound
T,53.3509,-6.23929,P320,09 Oct 2020,P320\n16:35 - M3 Parkway to Docklands(1 mins late)\nTERMINATED Docklands at 17:12,Southbound
T,53.3891,-6.07401,E931,09 Oct 2020,E931\n15:55 - Bray to Howth(0 mins late)\nTERMINATED Howth at 17:08,Northbound
